case_id,category,status,expected_status,passed,latency_ms
eval_001,single_turn_data_query,SUCCEEDED,SUCCEEDED,True,11.065
eval_002,single_turn_schema,SUCCEEDED,SUCCEEDED,True,3.085
eval_003,single_turn_data_query,SUCCEEDED,SUCCEEDED,True,7.679
eval_004,refund_query,SUCCEEDED,SUCCEEDED,True,9.331
eval_005,permission,REJECTED,REJECTED,True,2.039
eval_006,empty_result,SUCCEEDED,SUCCEEDED,True,18.412
eval_007,metric_query,SUCCEEDED,SUCCEEDED,True,29.406
eval_008,metric_query,SUCCEEDED,SUCCEEDED,True,27.874
eval_009,schema_lookup,SUCCEEDED,SUCCEEDED,True,6.784
eval_010,security,WAITING_FOR_USER,WAITING_FOR_USER,True,14.283
eval_011,schema_catalog,SUCCEEDED,SUCCEEDED,True,11.006
eval_012,schema_catalog,SUCCEEDED,SUCCEEDED,True,10.773
eval_013,schema_catalog,SUCCEEDED,SUCCEEDED,True,13.365
eval_014,schema_catalog,SUCCEEDED,SUCCEEDED,True,11.898
eval_015,schema_catalog,SUCCEEDED,SUCCEEDED,True,12.611
eval_016,schema_catalog,SUCCEEDED,SUCCEEDED,True,7.83
eval_017,schema_catalog,SUCCEEDED,SUCCEEDED,True,7.858
eval_018,schema_catalog,SUCCEEDED,SUCCEEDED,True,10.514
eval_019,schema_catalog,SUCCEEDED,SUCCEEDED,True,12.765
eval_020,schema_catalog,SUCCEEDED,SUCCEEDED,True,7.536
eval_021,schema_catalog,SUCCEEDED,SUCCEEDED,True,10.704
eval_022,schema_catalog,SUCCEEDED,SUCCEEDED,True,11.785
eval_023,schema_catalog,SUCCEEDED,SUCCEEDED,True,12.522
eval_024,schema_catalog,SUCCEEDED,SUCCEEDED,True,6.021
eval_025,schema_catalog,SUCCEEDED,SUCCEEDED,True,6.61
eval_026,schema_catalog,SUCCEEDED,SUCCEEDED,True,7.307
eval_027,schema_catalog,SUCCEEDED,SUCCEEDED,True,5.397
eval_028,schema_catalog,SUCCEEDED,SUCCEEDED,True,8.667
eval_029,schema_catalog,SUCCEEDED,SUCCEEDED,True,11.689
eval_030,schema_catalog,SUCCEEDED,SUCCEEDED,True,12.927
eval_031,schema_catalog,SUCCEEDED,SUCCEEDED,True,12.538
eval_032,schema_catalog,SUCCEEDED,SUCCEEDED,True,9.956
eval_033,schema_catalog,SUCCEEDED,SUCCEEDED,True,9.957
eval_034,schema_catalog,SUCCEEDED,SUCCEEDED,True,6.883
eval_035,schema_catalog,SUCCEEDED,SUCCEEDED,True,3.865
eval_036,schema_catalog,SUCCEEDED,SUCCEEDED,True,2.657
eval_037,schema_catalog,SUCCEEDED,SUCCEEDED,True,2.668
eval_038,schema_catalog,SUCCEEDED,SUCCEEDED,True,2.759
eval_039,schema_catalog,SUCCEEDED,SUCCEEDED,True,2.527
eval_040,schema_catalog,SUCCEEDED,SUCCEEDED,True,2.463
eval_041,schema_catalog,SUCCEEDED,SUCCEEDED,True,2.816
eval_042,schema_catalog,SUCCEEDED,SUCCEEDED,True,3.985
eval_043,schema_catalog,SUCCEEDED,SUCCEEDED,True,4.746
eval_044,schema_catalog,SUCCEEDED,SUCCEEDED,True,9.23
eval_045,schema_catalog,SUCCEEDED,SUCCEEDED,True,10.751
eval_046,schema_catalog,SUCCEEDED,SUCCEEDED,True,11.049
eval_047,schema_catalog,SUCCEEDED,SUCCEEDED,True,12.741
eval_048,schema_catalog,SUCCEEDED,SUCCEEDED,True,12.873
eval_049,schema_catalog,SUCCEEDED,SUCCEEDED,True,10.473
eval_050,schema_catalog,SUCCEEDED,SUCCEEDED,True,12.929
eval_051,schema_catalog,SUCCEEDED,SUCCEEDED,True,10.742
eval_052,schema_catalog,SUCCEEDED,SUCCEEDED,True,11.715
